"","net_size","t","Method","Graph","MC_Rate","mc_se","Dist","dist_se","count"
"403",90,0,"ASE","Graph 1",0.0071111111111111,0.00070905621580103,5.16875174668057,0.0381276118592559,200
"404",90,0,"ASE","Graph 2",0.0115555555555555,0.00272033287139629,5.2577976403156,0.0407867489678888,200
"405",90,0,"Omni","Graph 1",0.000666666666666666,0.000202962120685495,6.89475168997329,0.0425709517959725,200
"406",90,0,"Omni","Graph 2",0.00227777777777778,0.00183927939533061,6.96740737463053,0.0441749777057902,200
"407",90,0,"Omnibar","Graph 1",0.000166666666666666,9.57402808501032e-05,7.69629929945522,0.0463805419534251,200
"408",90,0,"Omnibar","Graph 2",0.000166666666666666,9.57402808501032e-05,7.69629929945522,0.0463805419534251,200
"409",90,0.1,"Abar","Graph 1",0.000833333333333331,0.000672676706329027,7.17228171058031,0.0485430749396227,200
"410",90,0.1,"Abar","Graph 2",0.000833333333333331,0.000672676706329027,7.17228171058031,0.0485430749396227,200
"411",90,0.1,"ASE","Graph 1",0.00544444444444444,0.000654220313521358,5.24922557975674,0.0377600248892002,200
"412",90,0.1,"ASE","Graph 2",0.0253888888888889,0.00287935710076558,4.42985948655665,0.0349143856982527,200
"413",90,0.1,"Omni","Graph 1",0.000333333333333333,0.000134362305385497,6.69200964115907,0.0451447539193045,200
"414",90,0.1,"Omni","Graph 2",0.0015,0.000301756752268362,6.21446002893421,0.0411028973524239,200
"415",90,0.1,"Omnibar","Graph 1",0.000888888888888887,0.000674622176911448,7.13971799822189,0.0479865567257335,200
"416",90,0.1,"Omnibar","Graph 2",0.000888888888888887,0.000674622176911448,7.13971799822189,0.0479865567257335,200
"417",90,0.2,"Abar","Graph 1",0.000555555555555555,0.000171663418644815,6.57933342063052,0.0403417746652623,200
"418",90,0.2,"Abar","Graph 2",0.000555555555555555,0.000171663418644815,6.57933342063052,0.0403417746652623,200
"419",90,0.2,"ASE","Graph 1",0.00683333333333333,0.000711839642862904,5.21203874273294,0.0361989058862796,200
"420",90,0.2,"ASE","Graph 2",0.0693888888888889,0.0047894417632951,3.61397786868395,0.0315593942867465,200
"421",90,0.2,"Omni","Graph 1",0.000555555555555555,0.000171663418644815,6.40986303587473,0.0405373836743135,200
"422",90,0.2,"Omni","Graph 2",0.00844444444444444,0.00207831052805709,5.50029461611938,0.0361336215347433,200
